R;N;ln(N)/ln(R)
862;3257155221;3,24
863;3268503859;3,24
864;3279871515;3,24
865;3291279927;3,24
866;3302703563;3,24
867;3314154151;3,24
868;3325633307;3,24
869;3337130103;3,24
870;3348670853;3,24
871;3360225663;3,24
872;3371806215;3,24
873;3383423465;3,24
874;3395059829;3,24
875;3406720241;3,24
876;3418407465;3,24
877;3430129735;3,24
878;3441870701;3,24
879;3453639517;3,24
880;3465435899;3,24
881;3477251087;3,24
882;3489113729;3,24
883;3500992445;3,24
884;3512895781;3,24
885;3524835193;3,24
886;3536782389;3,24
887;3548771507;3,24
888;3560781007;3,24
889;3572827839;3,24
890;3584895835;3,24
891;3596989917;3,24
892;3609110659;3,24
893;3621258877;3,24
894;3633433559;3,24
895;3645639207;3,24
896;3657867793;3,24
897;3670130009;3,24
898;3682405077;3,24
899;3694723125;3,24
900;3707057093;3,24
901;3719428847;3,24
902;3731824551;3,24
903;3744248645;3,24
904;3756696565;3,24
905;3769171033;3,24
906;3781677225;3,24
907;3794214493;3,24
908;3806771347;3,24
909;3819362587;3,24
910;3831975295;3,24
911;3844614197;3,24
912;3857283727;3,24
913;3869987481;3,24
914;3882719073;3,24
915;3895474059;3,24
916;3908254239;3,24
917;3921069833;3,24
918;3933895941;3,24
919;3946767237;3,24
920;3959666213;3,24
921;3972587301;3,24
922;3985537327;3,24
923;3998516871;3,24
924;4011517091;3,24
925;4024558071;3,24
926;4037627041;3,24
927;4050710979;3,24
928;4063838201;3,24
929;4076981797;3,24
930;4090156337;3,24
931;4103365909;3,24
932;4116594009;3,24
933;4129860141;3,24
934;4143148227;3,24
935;4156470411;3,24
936;4169807743;3,24
937;4183188835;3,24
938;4196591635;3,24
939;4210021463;3,24
940;4223489951;3,24
941;4236981323;3,24
942;4250495511;3,24
943;4264045635;3,24
944;4277620845;3,24
945;4291234381;3,24
946;4304862343;3,24
947;4318524187;3,24
948;4332210737;3,24
949;4345931261;3,24
950;4359687867;3,24
951;4373462577;3,24
952;4387275229;3,24
953;4401108349;3,24
954;4414971411;3,24
955;4428867295;3,24
956;4442790867;3,24
957;4456743953;3,24
958;4470728001;3,24
959;4484738887;3,24
960;4498775257;3,24
961;4512842233;3,24
962;4526945691;3,24
963;4541073345;3,24
964;4555231011;3,24
965;4569422765;3,24
966;4583637781;3,24
967;4597884215;3,24
968;4612154567;3,24
969;4626467101;3,24
970;4640795833;3,24
971;4655163259;3,24
972;4669558115;3,24
973;4683978017;3,24
974;4698434483;3,24
975;4712921475;3,24
976;4727428183;3,24
977;4741975455;3,24
978;4756540217;3,24
979;4771146393;3,24
980;4785777997;3,24
981;4800442289;3,24
982;4815127965;3,24
983;4829853523;3,24
984;4844603435;3,24
985;4859379849;3,24
986;4874195823;3,24
987;4889037863;3,24
988;4903911447;3,24
989;4918811313;3,24
990;4933744699;3,24
991;4948705509;3,24
992;4963696415;3,24
993;4978722333;3,24
994;4993775639;3,24
995;5008860353;3,24
996;5023973567;3,24
997;5039116499;3,24
998;5054291241;3,24
999;5069494611;3,23
1000;5084733329;3,23
1001;5100001793;3,23
1002;5115292961;3,23
1003;5130624119;3,23
1004;5145972101;3,23
1005;5161366757;3,23
1006;5176782507;3,23
1007;5192233825;3,23
1008;5207710269;3,23
1009;5223220783;3,23
1010;5238759499;3,23
1011;5254332181;3,23
1012;5269940783;3,23
1013;5285574385;3,23
1014;5301239041;3,23
1015;5316945287;3,23
1016;5332663371;3,23
1017;5348421945;3,23
1018;5364209973;3,23
1019;5380032395;3,23
1020;5395881425;3,23
1021;5411764605;3,23
1022;5427677177;3,23
1023;5443618437;3,23
1024;5459601663;3,23
1025;5475600877;3,23
1026;5491637353;3,23
1027;5507714751;3,23
1028;5523810811;3,23
1029;5539942985;3,23
1030;5556114471;3,23
1031;5572298613;3,23
1032;5588523235;3,23
1033;5604785703;3,23
1034;5621077867;3,23
1035;5637405045;3,23
1036;5653748353;3,23
1037;5670137505;3,23
1038;5686545233;3,23
1039;5702997159;3,23
1040;5719469757;3,23
1041;5735980765;3,23
1042;5752523187;3,23
1043;5769101631;3,23
1044;5785709749;3,23
1045;5802342959;3,23
1046;5819013965;3,23
1047;5835710667;3,23
1048;5852447301;3,23
1049;5869215777;3,23
1050;5886013411;3,23
1051;5902842529;3,23
1052;5919706445;3,23
1053;5936597353;3,23
1054;5953526683;3,23
1055;5970478789;3,23
1056;5987467713;3,23
1057;6004492085;3,23
1058;6021546833;3,23
1059;6038629509;3,23
1060;6055749345;3,23
1061;6072903145;3,23
1062;6090084233;3,23
1063;6107302635;3,23
1064;6124551985;3,23
1065;6141831053;3,23
1066;6159141475;3,23
1067;6176493171;3,23
1068;6193863155;3,23
1069;6211285245;3,23
1070;6228725287;3,23
1071;6246200443;3,23
