Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
 339    2.6098E-010    2.2555E-011   112    35
 340    2.3488E-010    4.9827E-010   110    38
 341    2.1139E-010    5.0667E-011   114    37
 342    1.9025E-010    8.2450E-011   118    35
 343    1.7123E-010    1.1649E-010   104    38
 344    1.5411E-010    1.3003E-010   112    38
 345    1.3870E-010    3.2694E-011   118    33
 346    1.2483E-010    1.7505E-011   110    39
 347    1.1234E-010    6.1941E-010   107    33
 348    1.0111E-010    4.4820E-010   113    38
 349    9.0998E-011    3.9415E-011   112    37
 350    8.1898E-011    1.0885E-010   115    35
 351    7.3708E-011    1.9853E-011   111    39
 352    6.6338E-011    6.5797E-011   113    38
 353    5.9704E-011    1.0982E-010   120    38
 354    5.3733E-011    4.0046E-011   104    32
 355    4.8360E-011    5.9429E-011   118    35
 356    4.3524E-011    3.2245E-011   110    42
 357    3.9172E-011    6.0950E-013   112    31
 358    3.5254E-011    1.2566E-011   113    32
 359    3.1729E-011    1.2177E-011   113    38
 360    2.8556E-011    3.3515E-012   113    31
 361    2.5701E-011    2.9426E-011   103    35
 362    2.3130E-011    1.4900E-013   116    35
 363    2.0817E-011    5.2439E-012   109    35
 364    1.8736E-011    6.2225E-012   112    37
 365    1.6862E-011    1.2591E-011   116    40
 366    1.5176E-011    1.1075E-011   114    37
 367    1.3658E-011    7.8573E-012   112    36
 368    1.2292E-011    3.5059E-012   117    36
 369    1.1063E-011    1.0626E-011   112    47
 370    9.9569E-012    1.2345E-012   110    39
 371    8.9612E-012    1.0149E-011   110    35
 372    8.0651E-012    5.6322E-012   114    34
 373    7.2586E-012    4.4334E-012   112    38
 374    6.5327E-012    3.2767E-012   119    43
 375    5.8795E-012    1.4964E-013   110    34
 376    5.2915E-012    2.3399E-012   111    38
 377    4.7624E-012    1.1694E-012   117    43
 378    4.2861E-012    1.5685E-011   111    39
 379    3.8575E-012    8.6717E-013   109    36
 380    3.4718E-012    1.1755E-012   116    35
 381    3.1246E-012    1.2976E-011   117    39
 382    2.8121E-012    1.3434E-012   115    36
 383    2.5309E-012    6.6968E-013   118    38
 384    2.2778E-012    5.9282E-012   110    39
 385    2.0500E-012    1.7330E-013   115    33
 386    1.8450E-012    2.0029E-013   115    44
